SERVICES,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JUL 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,YEARLY TOTAL
WEST AFRICA SERVICE (WAS),2179992,3459679,4068290,1314260,316496,2767004,724990,1975798,617273,1408344,3055250,2386585,24273955
EUROPE AFRICA SERVICE (EAS),125452,1237076,380274,578869,1134082,604445,1823668,1489774,1543872,293204,1106675,1610047,11927431
SENEGAL MAURITANIA EXPRESS (SME),1184896,1111542,844037,375273,418786,635343,351557,431848,735941,710768,1096105,1640255,9536345
HAMBURG TANGIER SERVICE (HTS),0,0,0,0,0,43778,43207,67382,23973,47457,14857,78456,319108
AEGEAN-SPAIN SERVICE (ASA),1409691,1577647,1848206,963162,1419628,1917782,703241,438166,1063199,1303411,1950527,1211214,15805869
SPAIN-EAST MED. SERVICE (SEM),870745,258451,1889300,212374,609031,49903,129978,3217778,1581336,2065637,2358886,1798852,15042266
ITALY SERVICE (ITE),891574,683940,978959,363490,422992,261043,504375,303202,153352,389176,556203,636471,6144772
GREAT PENDULUM SERVICE (GPS),50907,34200,305494,420966,300561,452124,1337830,3260,1416371,1488404,77488,1426744,7314344
WEST MED-B.SEA SERVICE (WBS),175827,644399,492570,286388,730945,2848142,415279,635246,126739,1692375,1124244,1995330,11167479
EAST MED. MOROCCO SERVICE (EMS),546472,944292,1276162,690586,573878,395519,692968,1115353,793435,1349192,2754658,2486894,13619405
TURKEY-LEVANT SERVICE (TLS),172053,4801,835843,1456808,1950124,2079139,810112,498612,72800,447165,936832,2036652,11300935
INTRA AEGEAN SERVICE (IAS),0,0,0,0,648238,26912,199059,109149,148975,326643,100217,19375,1578565
GREECE TURKEY SERVICE (GTS),0,0,328704,6084,-186,4559,12624,-2934,22425,8979,1379,0,381632
AEGEAN BULGARIA EXPRESS (ABX),37631,44759,45570,21798,35574,33720,2869,1168,3040,277443,49843,23681,577092
TURKEY ISRAEL SERVICE (TIS),0,0,0,0,0,0,0,755526,569576,220367,264771,837452,2647690
NORTH AFRICA SERVICE (NAS),1176286,1158888,1316186,1149004,1103042,786199,1900500,344321,39228,1095412,2246044,1070764,13385868
LIBYA TUNUS SERVICE (LTS),580138,306152,25972,1663425,2309480,2282452,376506,2161460,402845,2322008,602906,361498,13394836
CONSTANZA ARZEW EXPRESS SERVICE (CAX),301950,547131,228438,847099,33440,29646,397029,22339,629261,20455,60592,3646,3121020
ALGIERS EXPRESS SERVICE (AEX),367216,94660,118985,300017,35675,71081,220126,284052,217643,4832,42449,158918,1915649
ORAN EXPRESS SERVICE (OEX),185296,120825,169441,154388,62142,63619,60403,112199,71350,144741,50239,91744,1286381
FRANCE-MOROCCO SERVICE (FMS),17017,15938,12965,11985,21638,40750,47849,126838,39218,9757,785,8996,353729
MOROCCO TUNISIA SERVICE (MTS),25543,43065,5326,23972,0,67617,2089,268,7271,4773,0,19428,199349
MOROCCO CABOTAGE SERVICE (MCS),0,0,0,0,0,0,30864,47735,46386,81650,35481,167735,409849
BEJAI EXPRESS SERVICE (BEX),5042,39772,14475,0,12487,4078,8600,0,23702,50869,0,0,159021
MARMARA RUSSIA SERVICE (MRS),17590,306700,1282083,7246636,4927630,3273248,3589026,4518229,5706872,3491902,2729800,2204673,39294383
REEFER EXPRESS SERVICE (REX),841511,1953784,3128610,3373377,7255265,5967831,2938111,147342,377728,1409623,3098142,5047819,35539138
SAMSUN NOVO SHUTTLE SERVICE (SNS),19998,113898,111709,0,0,0,0,0,0,0,0,0,245604
B.SEA - MED. EXPRESS SERVICE (BMX),28048,39875,18143,0,1143,0,0,0,627,0,0,0,87834
INTRA B.SEA EXPRESS SERVICE (IBX),147690,138238,85537,73298,0,0,22075,5260,344,0,6579,0,479017
TURKEY-POTI SERVICE (TPS),4016,7100,0,0,0,0,146615,118544,115623,139291,234256,360493,1125935
TURKEY BULGARIA SERVICE (TBS),23791,59976,210917,441435,16509,90091,77323,90986,42447,103885,143705,101688,1402747
LEVANT BLACK SEA EXPRESS (LBX),19967,889,0,9321,4348,0,0,0,18162,0,0,0,0
Other 3rd Party Vessels,360303,72759,11244,69302,58896,16218,67936,6116,93089,35087,33016,15891,839851
FEEDER DEDICATED VOYAGES (FDV),0,0,0,0,0,0,936312,195899,348813,45528,0,207650,1734201
REPOSITIONING ,0,0,0,0,845463,0,641402,0,0,0,0,0,1486864
OPERATING PROFIT / LOSS RESULT,11766626,15020423,20033428,22053306,25247297,24812232,19214510,19220901,17052903,20988366,24731914,28008938,248150838
